method,eps,k,ann
origin,,193.87017948022927
random,,10,-4.520564948909197
gm,0.1,10,-1.3312523108770336
gm,0.01,10,-4.486357144666215
gm,0.001,10,-5.072479350270669
gm,0.0001,10,-4.538217193746192
random,,20,-6.751801306286069
gm,0.1,20,-1.3272165283506183
gm,0.01,20,-7.480518932720031
gm,0.001,20,-9.22015204110619
gm,0.0001,20,-7.08152103281995
random,,30,-8.262555654157438
gm,0.1,30,-1.9926870443501912
gm,0.01,30,-10.415538137786541
gm,0.001,30,-12.269262393306406
gm,0.0001,30,-9.74583606741038
